Timestamp,1. How old are you?,Gender,GPA,Year,Home,UNITS,Attend,Lectures Do,OH,Study Time,"Homework Hours",Start assignments,35. Which of the following campus facilities do you use the most?,36. What kinds of clubs and extracurriculars do you partake in most?,37. How many clubs and organizations are you part of?,"39. On average, how many hours do you spend on clubs and extracurricular activities per week?",40. How many career / academic events have you attended this year?,49. What is your favorite beverage?,50. Do you crave certain foods when stressed?,Drinks,Intake,O,54. Do you experience any of the following side effects when consuming caffeine?,"56. On average, how many hours of sleep do you get per day?","57. On average, how would you rate the quality of your sleep?",Hub Hours
2/6/2023 21:39,21,Man,3.0 - 3.49,Senior,Off Campus (4 - 30 mile radius),20,4,Taking notes,0,7,7,4,Libraries / Study spaces,Sports / Physical Activity,1,5,0,Sprite,1,Energy drinks,50,"Studying / Working on assignments, After waking up",,7,3,30
2/6/2023 21:46,21,Woman,3.5 - 4.0,Junior,Off Campus (3 mile radius),13,5,Taking notes,0,6,6,2,"HUB / Dining Halls, Research Facilities","Academic / Professional, Social",2,2,0,coffee,1,"Coffee, Tea",200,"Studying / Working on assignments, Socializing, After waking up","Increased heart rate, Insomnia, Sleep deprivation",7,2,3
2/6/2023 21:47,22,Man,3.5 - 4.0,Senior,On Campus,12,5,Taking notes,0,7,4,2,"Libraries / Study spaces, Research Facilities, SRC","Academic / Professional, Science, Social",1,2,0,Black Tea,2,Tea,0,"Studying / Working on assignments, No particular ocassion","Dehydration, Dizziness, Headaches, Increased heart rate",7,4,5
2/6/2023 21:51,20,Woman,3.0 - 3.49,Senior,Off Campus (4 - 30 mile radius),16,5,Taking notes,0,1,8,2,"HUB / Dining Halls, Libraries / Study spaces",Academic / Professional,1,1,1,Strawberry lemonade,5,Tea,50,"Studying / Working on assignments, Socializing",Dehydration,9,5,2
2/6/2023 21:52,21,Man,3.5 - 4.0,Junior,Off Campus (4 - 30 mile radius),16,5,Listening without taking notes,0,4,10,3,"HUB / Dining Halls, Libraries / Study spaces","Science, Social",1,1,1,Boba,3,Coffee,80,"Working out, Studying / Working on assignments",,8,5,3
2/6/2023 21:53,22,Man,2.5 - 2.99,Senior,On Campus,16,4,Listening without taking notes,0,4,9,3,"HUB / Dining Halls, Libraries / Study spaces","Social, Gaming",2,3,0,Canada Dry,3,Soda,40,No particular ocassion,Dehydration,7,4,7
2/6/2023 22:12,19,Man,3.5 - 4.0,Sophomore,On Campus,18,5,Taking notes,2,4,4,3,SRC,Academic / Professional,2,1,0,sprite,5,Tea,100,"Working out, Studying / Working on assignments, After waking up","Dehydration, Headaches, Sleep deprivation",7,3,4
2/6/2023 22:48,21,Man,3.5 - 4.0,Senior,Off Campus (3 mile radius),20,4,Listening without taking notes,0,1,5,4,"HUB / Dining Halls, Libraries / Study spaces",,0,1,3,Sprite,1,Soda,0,No particular ocassion,"Increased heart rate, Insomnia",8,4,3
2/6/2023 22:52,24,Man,2.5 - 2.99,Junior,Off Campus (4 - 30 mile radius),12,5,Listening without taking notes,2,10,10,3,"HUB / Dining Halls, Libraries / Study spaces, SRC","Art, Community Service, Sports / Physical Activity",0,2,0,diet coke,1,"Coffee, Energy drinks, Soda",80,Studying / Working on assignments,"Headaches, Increased heart rate",6,3,7
2/6/2023 23:05,20,Woman,3.5 - 4.0,Sophomore,On Campus,18,5,Taking notes,0,10,10,3,"HUB / Dining Halls, Libraries / Study spaces",Academic / Professional,1,1,5,water,3,Coffee,80,"Studying / Working on assignments, No particular ocassion",,6,3,
